transaction_id,profile_id,date_of_booking,date_of_service_requested,source,slot of booking (hour of the day)
PLIFV,7604,1/30/2018,2/2/2018,C,14
DQNKP,7604,4/30/2018,5/5/2018,B,14
YAKAU,7604,5/31/2018,6/4/2018,B,13
XSPMD,7604,6/11/2018,6/12/2018,A,13
RPZAP,7604,6/19/2018,6/20/2018,D,18
HVYMD,7604,7/11/2018,7/15/2018,C,13
CXJTQ,7604,10/15/2018,10/19/2018,C,7
GLKWS,7605,9/5/2018,9/5/2018,B,12
BGKPJ,7605,10/31/2018,11/4/2018,C,7
XFKIH,7606,1/14/2018,1/15/2018,B,12
WHQQB,7607,1/3/2018,1/7/2018,D,16
JIOKN,7608,1/2/2018,1/2/2018,B,14
IPPQF,7608,2/6/2018,2/7/2018,B,14
WCQWH,7608,3/12/2018,3/16/2018,D,6
XOIXZ,7608,5/12/2018,5/13/2018,C,10
YJYEP,7608,6/18/2018,6/21/2018,A,13
VVTDF,7608,7/1/2018,7/3/2018,D,19
GJDEV,7608,7/10/2018,7/15/2018,C,16
VTNIL,7608,8/2/2018,8/2/2018,A,14
ZVAKE,7608,8/4/2018,8/5/2018,C,13
UTCVU,7608,8/11/2018,8/15/2018,D,13
UNQJR,7608,8/16/2018,8/21/2018,A,17
NPVRI,7608,9/2/2018,9/5/2018,C,14
ADFLP,7608,9/2/2018,9/2/2018,C,13
NEXEK,7608,10/2/2018,10/4/2018,C,14
VHESH,7608,10/5/2018,10/10/2018,D,15
PSPWN,7608,10/8/2018,10/10/2018,C,19
OGOLY,7608,10/23/2018,10/23/2018,C,14
PROTA,7608,11/12/2018,11/15/2018,C,10
JMINU,7609,12/13/2017,12/14/2017,C,14
EQRMI,7610,2/3/2018,2/6/2018,D,11
RYKKE,7611,10/7/2018,10/8/2018,A,6
DVBOF,7612,1/10/2018,1/11/2018,B,18
SDBKW,7613,9/3/2018,9/4/2018,D,6
NIPHQ,7614,11/3/2018,11/3/2018,A,14
TFUSX,7614,11/17/2018,11/22/2018,B,18
CHNIZ,7615,7/8/2018,7/11/2018,C,18
ZFFJT,7616,5/25/2018,5/30/2018,D,13
FCBIH,7617,3/21/2018,3/24/2018,C,13
FRZJA,7618,10/9/2018,10/9/2018,B,6
YFICC,7619,5/12/2018,5/17/2018,A,13
TCEFQ,7619,5/27/2018,5/27/2018,B,9
ANTLH,7619,8/20/2018,8/24/2018,A,11
NOKLN,7620,3/7/2018,3/10/2018,B,14
CUEUO,7620,4/13/2018,4/14/2018,C,12
BQEGW,7620,5/15/2018,5/17/2018,C,16
JMUSE,7621,6/19/2018,6/20/2018,C,14
PMJOH,7621,11/30/2018,12/5/2018,B,14
GXHKX,7622,2/13/2018,2/18/2018,C,6
RCZKE,7622,6/23/2018,6/27/2018,D,12
VJDZP,7622,7/8/2018,7/8/2018,D,7
RJJKE,7622,9/22/2018,9/23/2018,D,9
KABGQ,7622,11/3/2018,11/6/2018,C,14
TFDBM,7623,9/25/2018,9/28/2018,B,16
MKPKT,7624,4/1/2018,4/5/2018,B,14
NLGJS,7624,5/1/2018,5/2/2018,A,14
HNDHA,7624,6/15/2018,6/18/2018,C,15
OFYXF,7624,7/20/2018,7/23/2018,A,14
SFOWC,7624,8/26/2018,8/30/2018,D,9
UZLZR,7624,9/20/2018,9/20/2018,D,19
ADOVJ,7625,1/1/2018,1/4/2018,D,11
IKITQ,7626,2/12/2018,2/12/2018,B,14
KQOWM,7626,2/27/2018,3/3/2018,C,14
RCUKP,7626,3/4/2018,3/9/2018,D,14
YRMSU,7626,3/24/2018,3/25/2018,D,13
IZQTN,7626,3/31/2018,4/5/2018,C,14
DTEAU,7626,7/4/2018,7/8/2018,D,19
NVFGB,7626,9/29/2018,10/1/2018,A,14
ZVPHX,7626,10/30/2018,11/4/2018,A,13
LLHIS,7627,12/27/2017,12/30/2017,A,14
ERCXK,7627,8/26/2018,8/29/2018,B,12
GLESI,7627,11/29/2018,12/1/2018,A,9
BGZIR,7628,3/9/2018,3/9/2018,B,6
WSIMM,7629,1/19/2018,1/22/2018,A,9
UQEDW,7629,3/25/2018,3/28/2018,B,17
VRUUY,7629,7/4/2018,7/6/2018,D,10
ZCLAL,7629,8/17/2018,8/19/2018,A,13
EVQQJ,7629,8/27/2018,8/28/2018,C,11
KAIGT,7630,3/16/2018,3/20/2018,C,14
ORCZT,7631,8/4/2018,8/5/2018,D,14
MLAXG,7632,9/16/2018,9/21/2018,A,14
YCRVU,7633,11/17/2018,11/21/2018,A,13
YMPOX,7634,6/19/2018,6/22/2018,A,13
HAWWD,7635,5/18/2018,5/20/2018,B,19
WAQSN,7635,5/30/2018,5/30/2018,A,14
GGXPN,7636,5/18/2018,5/20/2018,B,8
XRLSF,7637,10/14/2018,10/17/2018,A,13
QUNGG,7637,10/19/2018,10/21/2018,D,9
NIVAE,7638,11/18/2018,11/19/2018,D,14
MBIYR,7639,11/8/2018,11/13/2018,A,14
YBIZC,7640,9/1/2018,9/2/2018,B,13
QUHBZ,7641,1/15/2018,1/16/2018,C,8
YYDOU,7642,5/25/2018,5/30/2018,C,13
ZPFUG,7643,3/5/2018,3/6/2018,C,13
BYZBN,7643,8/7/2018,8/8/2018,B,8
RVXKQ,7644,2/28/2018,3/1/2018,C,9
VSJXK,7644,11/8/2018,11/11/2018,C,17
SZQMS,7645,11/2/2018,11/3/2018,D,14
MOBRJ,7646,2/12/2018,2/16/2018,C,14
DPOCH,7646,11/17/2018,11/22/2018,C,10
GKWVI,7647,12/21/2017,12/26/2017,A,10
JTGPP,7647,10/23/2018,10/26/2018,D,14
WGZYR,7648,10/29/2018,10/31/2018,D,13
IABEQ,7649,9/23/2018,9/28/2018,C,13
HUGOR,7650,2/21/2018,2/23/2018,C,14
SITIU,7651,1/7/2018,1/8/2018,A,14
XKLTX,7652,12/11/2017,12/14/2017,A,8
UHZYU,7653,12/22/2017,12/23/2017,C,13
CAHGV,7653,1/30/2018,2/1/2018,D,17
UFTGD,7653,4/7/2018,4/8/2018,D,12
SYYRO,7653,4/14/2018,4/15/2018,B,15
PVRUM,7653,5/4/2018,5/9/2018,C,6
JSWTU,7653,6/12/2018,6/16/2018,B,14
YBZWV,7653,6/20/2018,6/25/2018,C,13
FGXCF,7653,7/18/2018,7/21/2018,D,7
OGNHT,7653,8/24/2018,8/24/2018,A,14
RZZJK,7653,10/15/2018,10/17/2018,D,18
DXHBK,7654,2/16/2018,2/19/2018,B,14
ZHDHM,7654,5/11/2018,5/13/2018,A,13
LQXQA,7654,7/31/2018,8/2/2018,A,14
VNDLG,7654,10/19/2018,10/20/2018,C,16
NVRZJ,7655,6/8/2018,6/13/2018,A,14
GJYPC,7656,2/20/2018,2/20/2018,A,7
IYGPR,7656,4/19/2018,4/19/2018,B,14
AZHRL,7657,3/24/2018,3/26/2018,C,15
JDNLM,7658,10/10/2018,10/15/2018,C,14
XRPHI,7659,11/9/2018,11/12/2018,C,13
DUKPF,7660,9/17/2018,9/22/2018,C,11
JRIGZ,7661,10/5/2018,10/6/2018,C,14
ZBKWU,7662,8/12/2018,8/13/2018,C,13
KLWXB,7662,10/28/2018,11/2/2018,A,14
GUDTF,7663,5/18/2018,5/22/2018,B,14
LRNLG,7664,1/16/2018,1/19/2018,A,14
PLSAB,7665,3/22/2018,3/22/2018,C,14
WEJVS,7665,4/25/2018,4/28/2018,B,14
QEYVI,7665,9/13/2018,9/18/2018,D,11
CYLXV,7665,10/25/2018,10/30/2018,C,6
SOEMS,7666,12/31/2017,1/5/2018,C,13
KLDYT,7667,1/15/2018,1/20/2018,D,14
IDMNL,7668,8/25/2018,8/29/2018,C,12
NLACE,7669,5/25/2018,5/27/2018,C,14
NBDVC,7670,4/4/2018,4/4/2018,C,14
MRPGA,7671,4/20/2018,4/25/2018,C,14
NANCL,7672,4/18/2018,4/21/2018,A,14
PJHWH,7673,4/2/2018,4/6/2018,B,14
ZEQXL,7674,7/3/2018,7/8/2018,B,13
RDTGS,7675,3/29/2018,3/31/2018,B,9
MIUKJ,7675,8/25/2018,8/27/2018,C,14
XTVDK,7675,9/22/2018,9/23/2018,C,13
DASGT,7676,6/19/2018,6/20/2018,B,13
XTHMJ,7677,7/21/2018,7/22/2018,A,13
JPQBR,7678,10/10/2018,10/10/2018,D,14
EHYBK,7679,1/12/2018,1/17/2018,D,16
UGLRK,7680,4/30/2018,5/4/2018,D,14
BNIBC,7681,9/29/2018,10/4/2018,C,14
QJABC,7682,12/31/2017,12/31/2017,C,17
NMHMQ,7682,5/14/2018,5/18/2018,D,14
IFLIN,7682,7/2/2018,7/6/2018,B,9
YMJRH,7683,12/10/2017,12/11/2017,B,13
GOKIM,7683,4/20/2018,4/21/2018,D,6
FLLQK,7684,8/3/2018,8/4/2018,C,10
ONRPM,7685,7/14/2018,7/16/2018,A,14
CZFNP,7686,2/7/2018,2/10/2018,B,16
TITDS,7687,6/14/2018,6/15/2018,B,10
CRPAJ,7687,7/6/2018,7/9/2018,D,19
YNNIE,7687,8/22/2018,8/27/2018,A,13
IQQWI,7687,10/6/2018,10/6/2018,C,14
DMESL,7687,10/27/2018,10/28/2018,C,7
JJENS,7688,9/5/2018,9/10/2018,C,14
CQDHJ,7689,3/25/2018,3/27/2018,D,18
ZAROF,7690,1/29/2018,2/1/2018,C,13
TJBVG,7691,6/9/2018,6/10/2018,B,13
TMKPG,7692,2/26/2018,3/3/2018,B,18
HIBZH,7692,10/16/2018,10/19/2018,B,15
VCFSH,7693,5/22/2018,5/27/2018,C,8
XUTSQ,7694,10/21/2018,10/24/2018,C,13
FHSMM,7695,2/19/2018,2/19/2018,C,14
GZBHL,7695,6/3/2018,6/4/2018,A,14
CUIQB,7695,6/22/2018,6/27/2018,D,8
RIFBI,7695,10/20/2018,10/25/2018,B,6
BQYFG,7696,12/18/2017,12/19/2017,B,19
HZPQF,7696,7/8/2018,7/12/2018,C,11
MXKIS,7697,2/21/2018,2/21/2018,D,14
ENTHG,7697,11/10/2018,11/10/2018,C,10
YJDYJ,7698,4/29/2018,4/30/2018,C,13
UYJGW,7698,11/19/2018,11/22/2018,C,14
WCUKJ,7699,5/3/2018,5/8/2018,B,16
EHBHF,7700,2/23/2018,2/27/2018,C,19
CCOQC,7701,5/2/2018,5/4/2018,D,9
VUPQO,7701,11/26/2018,11/30/2018,C,17
DOXHK,7702,7/16/2018,7/21/2018,C,11
FRLMA,7702,9/7/2018,9/7/2018,C,12
QLTSQ,7703,2/2/2018,2/7/2018,C,18
XDUUD,7704,6/9/2018,6/12/2018,B,8
QLZNR,7705,6/6/2018,6/7/2018,A,15
GQKDG,7706,3/1/2018,3/2/2018,C,11
JGVYN,7706,8/1/2018,8/4/2018,A,14
IDWSO,7706,10/21/2018,10/21/2018,C,14
JRQYI,7706,10/25/2018,10/25/2018,D,14
PKFGT,7707,2/8/2018,2/13/2018,A,14
JWCSL,7708,4/12/2018,4/13/2018,C,14
FEITM,7708,11/9/2018,11/9/2018,C,9
OOBVP,7708,11/20/2018,11/24/2018,C,14
ZFXQP,7709,4/26/2018,4/30/2018,A,13
EEMOA,7710,12/16/2017,12/20/2017,D,14
LDNAG,7711,12/12/2017,12/12/2017,D,14
WYFUI,7712,7/11/2018,7/13/2018,C,14
KXVNI,7713,5/17/2018,5/17/2018,B,14
MAHLL,7714,12/26/2017,12/26/2017,D,14
TDGEF,7714,2/2/2018,2/5/2018,A,17
XBUYU,7714,6/18/2018,6/21/2018,A,16
LLZBX,7714,11/27/2018,12/1/2018,B,14
CNLQY,7715,9/18/2018,9/20/2018,C,9
NVIDF,7716,7/7/2018,7/9/2018,C,14
GRKJX,7716,7/30/2018,8/1/2018,B,16
VVJXJ,7717,3/13/2018,3/14/2018,C,14
RZHIJ,7718,2/22/2018,2/25/2018,A,15
EFACV,7719,1/1/2018,1/4/2018,B,6
FAZXR,7719,1/6/2018,1/6/2018,B,11
IKFNW,7719,3/22/2018,3/27/2018,C,14
UXSSP,7719,4/2/2018,4/7/2018,D,12
ABSGF,7719,4/3/2018,4/8/2018,D,10
DGIAU,7719,5/17/2018,5/17/2018,C,17
LBZKV,7719,7/18/2018,7/18/2018,D,14
RYNTN,7719,11/6/2018,11/7/2018,A,12
VXQKF,7720,3/29/2018,3/29/2018,D,13
LEITR,7720,9/22/2018,9/22/2018,A,14
RPXKH,7721,10/29/2018,10/29/2018,B,6
WHEHG,7722,2/3/2018,2/7/2018,C,18
PGPKV,7722,11/16/2018,11/18/2018,D,14
VLSPL,7723,12/26/2017,12/27/2017,B,18
IBMKW,7723,2/16/2018,2/17/2018,C,12
UWXOZ,7723,4/9/2018,4/11/2018,B,15
BLWCB,7723,5/8/2018,5/8/2018,B,10
UMXBD,7723,5/16/2018,5/16/2018,D,15
MJJZU,7723,7/22/2018,7/26/2018,C,14
CNCCB,7723,9/6/2018,9/9/2018,C,8
CYJWJ,7723,11/9/2018,11/13/2018,D,13
SAMJZ,7724,4/17/2018,4/21/2018,C,6
FMFAC,7725,8/30/2018,9/1/2018,D,15
PFWJA,7726,2/14/2018,2/18/2018,B,14
FBVWZ,7727,7/1/2018,7/5/2018,D,17
CMARP,7728,7/19/2018,7/24/2018,C,13
YJBFF,7729,2/15/2018,2/19/2018,B,13
EEGPG,7730,6/26/2018,6/28/2018,B,18
CACVZ,7730,11/13/2018,11/13/2018,C,13
YXKTL,7731,11/2/2018,11/5/2018,A,13
FVJXK,7732,2/14/2018,2/19/2018,D,11
XZVBS,7732,4/7/2018,4/11/2018,D,13
LTWFT,7732,5/15/2018,5/18/2018,A,14
VLEPK,7732,6/12/2018,6/17/2018,D,7
NSQKO,7732,6/15/2018,6/17/2018,A,14
BRPXR,7732,7/5/2018,7/8/2018,C,15
FBAIR,7732,8/5/2018,8/8/2018,C,12
RLDOF,7732,8/28/2018,9/2/2018,A,10
MEWOU,7733,5/31/2018,6/3/2018,B,14
HHMTS,7733,8/4/2018,8/9/2018,B,8
UESLF,7734,7/24/2018,7/28/2018,C,13
WKQIZ,7735,12/13/2017,12/18/2017,C,14
XKOWM,7735,1/13/2018,1/14/2018,A,9
ZFLLP,7736,9/12/2018,9/14/2018,C,13
EZKTT,7737,4/8/2018,4/11/2018,D,14
DZOOZ,7738,4/23/2018,4/27/2018,D,14
NWYVL,7738,6/4/2018,6/6/2018,D,14
FVRNI,7738,8/8/2018,8/13/2018,C,11
LQASQ,7739,5/29/2018,5/29/2018,D,14
XHXNH,7740,8/3/2018,8/4/2018,A,14
JYKZT,7741,3/15/2018,3/19/2018,B,14
KICXI,7742,3/18/2018,3/20/2018,D,14
NYNRO,7743,11/20/2018,11/20/2018,D,14
KQVCJ,7744,1/23/2018,1/23/2018,D,14
ZBJQV,7745,12/10/2017,12/15/2017,D,13
PGKAL,7746,4/18/2018,4/19/2018,B,14
OLBQD,7747,6/20/2018,6/24/2018,D,14
WLWRG,7748,11/20/2018,11/20/2018,A,11
FLQZL,7749,2/3/2018,2/3/2018,C,16
XPHRR,7749,5/8/2018,5/8/2018,C,13
AMZPI,7750,6/21/2018,6/25/2018,A,8
TKKXE,7751,8/14/2018,8/18/2018,C,8
KKKZP,7752,1/24/2018,1/28/2018,C,14
KDZNC,7752,3/18/2018,3/22/2018,B,14
XLFJV,7752,3/26/2018,3/29/2018,B,8
KBHSS,7752,5/21/2018,5/24/2018,C,14
OAYXD,7752,7/5/2018,7/6/2018,D,14
LXLNE,7752,9/1/2018,9/1/2018,A,14
NHGKA,7752,9/18/2018,9/20/2018,B,14
AAXZN,7752,11/2/2018,11/6/2018,B,14
WPWRJ,7752,11/20/2018,11/22/2018,A,13
WGIGT,7753,12/27/2017,12/28/2017,D,10
LBBZO,7754,12/10/2017,12/11/2017,B,14
WFLZJ,7755,6/4/2018,6/9/2018,B,17
KOOVT,7756,1/4/2018,1/8/2018,A,14
UGZQE,7757,10/9/2018,10/13/2018,B,6
HDEFW,7758,10/6/2018,10/7/2018,B,6
YJHDG,7759,11/28/2018,11/30/2018,B,13
PCIIF,7760,12/5/2017,12/10/2017,B,14
YDPQQ,7761,8/8/2018,8/11/2018,C,13
YOARH,7762,4/18/2018,4/22/2018,C,13
LOPJQ,7762,8/20/2018,8/21/2018,B,14
YQAHU,7763,7/12/2018,7/16/2018,C,13
NYVTJ,7764,4/27/2018,4/30/2018,B,14
BKLQE,7765,12/5/2017,12/9/2017,C,14
PIGTN,7766,10/9/2018,10/14/2018,A,14
OCZDO,7767,2/18/2018,2/23/2018,A,14
COKWH,7767,4/26/2018,5/1/2018,B,13
QTZZL,7768,6/4/2018,6/7/2018,C,12
NOHRZ,7769,9/2/2018,9/4/2018,C,14
BUHOA,7770,6/27/2018,6/28/2018,C,18
EERQY,7771,6/9/2018,6/14/2018,C,7
TPOGM,7771,6/13/2018,6/17/2018,A,17
HNHDZ,7771,7/3/2018,7/5/2018,C,15
XAFHC,7771,7/31/2018,7/31/2018,C,16
SFRJG,7771,8/5/2018,8/6/2018,D,11
DXCBO,7771,10/11/2018,10/16/2018,C,14
HTRIB,7772,1/13/2018,1/18/2018,C,7
YGYJA,7773,1/31/2018,2/4/2018,A,13
IHWEL,7774,8/1/2018,8/2/2018,C,14
KJZPM,7775,6/9/2018,6/11/2018,C,14
WMGIX,7776,1/23/2018,1/24/2018,C,18
YBWBN,7777,7/26/2018,7/28/2018,C,13
XXNPQ,7778,12/16/2017,12/20/2017,D,13
RFFGI,7778,2/17/2018,2/21/2018,A,19
VEWBS,7778,3/28/2018,4/1/2018,C,9
WZJGJ,7778,5/1/2018,5/3/2018,C,14
JGAYN,7778,6/16/2018,6/16/2018,B,14
WDFVW,7778,7/14/2018,7/15/2018,B,10
ZEFPO,7778,8/11/2018,8/13/2018,A,13
SEVAR,7778,9/24/2018,9/25/2018,D,6
UHIOA,7778,9/30/2018,10/5/2018,B,14
PXPIM,7778,10/19/2018,10/23/2018,D,14
JGCVT,7778,11/15/2018,11/16/2018,C,14
IAKVH,7779,2/4/2018,2/6/2018,B,9
POQKH,7780,5/31/2018,6/3/2018,D,13
ODBYV,7780,10/1/2018,10/4/2018,C,14
OSZIB,7781,3/28/2018,4/1/2018,A,14
RLLWY,7781,6/25/2018,6/27/2018,B,14
IIDUU,7782,2/23/2018,2/23/2018,B,14
MZLCG,7783,5/15/2018,5/18/2018,D,14
QKIHJ,7784,2/9/2018,2/9/2018,A,13
GBAOB,7785,1/25/2018,1/29/2018,D,11
PBWZQ,7786,9/4/2018,9/5/2018,B,14
IWPWB,7787,6/23/2018,6/26/2018,C,14
GKNMA,7787,7/29/2018,7/31/2018,C,9
GSVZX,7788,8/31/2018,9/3/2018,A,14
DBIFP,7789,2/11/2018,2/12/2018,D,15
YKPCY,7790,8/31/2018,9/3/2018,C,13
IVLZO,7791,2/14/2018,2/14/2018,C,14
XZXKH,7792,12/4/2017,12/8/2017,A,13
VZXCW,7792,9/19/2018,9/19/2018,A,8
OPDOS,7792,11/2/2018,11/4/2018,D,14
IWPAK,7793,6/22/2018,6/23/2018,C,14
GVPAB,7794,5/16/2018,5/19/2018,B,13
XHZEM,7795,4/16/2018,4/17/2018,C,7
CSOBX,7796,4/19/2018,4/23/2018,C,19
XQODO,7796,6/30/2018,6/30/2018,C,13
ZHTZU,7797,12/30/2017,1/1/2018,B,13
AJNOC,7797,5/24/2018,5/24/2018,D,14
ZEMGQ,7798,1/18/2018,1/19/2018,C,13
FRLYP,7799,3/16/2018,3/20/2018,D,12
NNTGR,7800,2/25/2018,3/2/2018,D,14
HSDLU,7801,1/8/2018,1/10/2018,C,6
WFTOF,7802,6/14/2018,6/15/2018,C,15
EHQQK,7803,5/20/2018,5/22/2018,D,16
IOQTN,7804,11/14/2018,11/19/2018,C,14
QCRGK,7805,12/9/2017,12/12/2017,C,16
BUXWM,7805,2/1/2018,2/2/2018,D,19
RFECA,7805,3/13/2018,3/13/2018,B,14
NTHXJ,7805,3/31/2018,4/2/2018,C,14
FKBVI,7805,7/10/2018,7/12/2018,C,11
LUGHR,7805,7/25/2018,7/29/2018,C,14
XXUVX,7805,10/21/2018,10/24/2018,A,13
ZPFUF,7806,11/10/2018,11/11/2018,A,13
WCZRZ,7807,12/17/2017,12/17/2017,D,9
JPHPU,7808,12/17/2017,12/21/2017,C,14
WUNDY,7808,1/23/2018,1/27/2018,C,8
TEKPY,7808,6/26/2018,6/27/2018,A,14
YIVSD,7809,8/23/2018,8/23/2018,A,13
UZDRS,7810,11/12/2018,11/16/2018,B,11
XNFLZ,7811,1/11/2018,1/13/2018,A,19
LGHBR,7811,5/15/2018,5/16/2018,B,14
BEZVG,7812,4/16/2018,4/19/2018,B,19
RZLAD,7813,3/3/2018,3/6/2018,A,14
PWRFN,7813,3/6/2018,3/6/2018,C,8
XKTCY,7813,3/20/2018,3/21/2018,D,12
NCUTQ,7813,4/13/2018,4/15/2018,B,14
BJUQW,7813,5/16/2018,5/20/2018,C,9
MBEOZ,7813,5/17/2018,5/20/2018,A,14
OBKOA,7813,6/7/2018,6/11/2018,C,14
IMGMA,7813,8/16/2018,8/18/2018,C,14
UIGIG,7813,9/8/2018,9/11/2018,D,9
NDYOD,7813,9/11/2018,9/13/2018,D,14
RICCM,7813,9/12/2018,9/17/2018,D,13
PFBBI,7813,10/21/2018,10/25/2018,B,14
ZWQEA,7813,11/6/2018,11/11/2018,D,13
AOPRG,7814,4/6/2018,4/6/2018,A,18
DYHIE,7815,12/16/2017,12/19/2017,B,12
UIWFR,7816,8/16/2018,8/16/2018,B,15
BNMQL,7817,9/3/2018,9/8/2018,C,11
RPBQP,7818,3/8/2018,3/12/2018,B,16
MKOOP,7819,7/9/2018,7/12/2018,A,14
ELEDZ,7820,2/13/2018,2/15/2018,D,17
TPKIT,7821,12/13/2017,12/18/2017,D,14
CKJKS,7822,8/2/2018,8/6/2018,C,12
UFMAO,7823,12/23/2017,12/28/2017,B,8
CIQCR,7823,12/27/2017,12/29/2017,C,14
HZYDF,7823,1/19/2018,1/22/2018,D,7
CHCFB,7823,4/12/2018,4/17/2018,D,14
EIWVI,7823,5/6/2018,5/9/2018,C,8
BWLUJ,7823,10/1/2018,10/1/2018,C,7
GOVHE,7823,10/5/2018,10/9/2018,B,10
GSBPL,7823,10/10/2018,10/12/2018,D,16
KTEKE,7824,1/30/2018,1/30/2018,D,14
XKSKE,7825,7/21/2018,7/22/2018,C,12
VBLAM,7826,11/21/2018,11/26/2018,B,9
LGOJT,7827,5/25/2018,5/26/2018,D,14
YZUSI,7827,10/14/2018,10/18/2018,A,13
YJNLO,7828,7/6/2018,7/9/2018,A,13
DLKES,7829,6/5/2018,6/10/2018,C,10
USIJD,7830,7/16/2018,7/16/2018,D,7
ALXVL,7831,3/3/2018,3/8/2018,A,18
FOSFU,7831,7/6/2018,7/9/2018,C,14
RKDCT,7831,7/9/2018,7/14/2018,B,15
CPSKH,7831,11/18/2018,11/22/2018,D,12
BJCZG,7832,6/24/2018,6/25/2018,C,6
POBLV,7833,12/12/2017,12/15/2017,B,16
DMRUH,7834,8/30/2018,9/2/2018,C,14
IFXLJ,7835,3/7/2018,3/12/2018,D,14
ELNAU,7836,6/4/2018,6/4/2018,C,12
JJIZU,7836,9/21/2018,9/22/2018,B,14
XKZMO,7837,4/5/2018,4/10/2018,C,19
PBHVC,7838,11/23/2018,11/28/2018,A,14
BZKTN,7839,2/17/2018,2/20/2018,C,14
DAKLA,7839,6/3/2018,6/4/2018,D,7
ZZSIM,7839,9/19/2018,9/20/2018,A,13
WMNON,7839,10/4/2018,10/8/2018,B,12
NRERW,7839,10/30/2018,11/1/2018,B,14
WMRCS,7840,10/6/2018,10/10/2018,C,8
IOGSE,7841,1/5/2018,1/5/2018,C,14
KDRAM,7841,4/15/2018,4/15/2018,B,14
BJFYP,7841,9/13/2018,9/15/2018,C,16
AZCAZ,7841,10/5/2018,10/9/2018,C,8
ABEHV,7842,5/1/2018,5/2/2018,D,9
MKZWQ,7842,5/7/2018,5/9/2018,D,14
ZTDNP,7843,1/20/2018,1/24/2018,C,13
EGDIN,7844,8/12/2018,8/15/2018,C,14
QJDMP,7845,7/9/2018,7/10/2018,D,13
LLVHF,7845,9/17/2018,9/20/2018,D,14
GDFJL,7845,11/1/2018,11/6/2018,B,8
EHQMC,7846,4/1/2018,4/4/2018,B,14
ZIDKI,7847,3/25/2018,3/30/2018,D,13
IYBIS,7848,2/20/2018,2/21/2018,C,14
LXULO,7848,8/1/2018,8/5/2018,C,14
MKICK,7849,5/20/2018,5/23/2018,B,14
DDVLZ,7850,4/22/2018,4/27/2018,C,17
JLXQN,7851,6/28/2018,6/28/2018,C,14
TDJWJ,7852,11/24/2018,11/28/2018,A,16
RSPCN,7853,10/14/2018,10/17/2018,A,14
HGPGD,7854,8/9/2018,8/13/2018,C,9
BKSNW,7855,2/2/2018,2/7/2018,B,7
TFUTM,7855,3/27/2018,3/29/2018,B,12
GPXDS,7855,4/7/2018,4/8/2018,B,17
VPQIO,7855,5/28/2018,5/30/2018,A,10
HXHZX,7855,6/11/2018,6/14/2018,C,19
GQTSO,7855,6/12/2018,6/14/2018,C,15
WMWSW,7855,7/3/2018,7/3/2018,A,16
NQIUX,7855,7/15/2018,7/19/2018,D,14
YXXJB,7855,9/17/2018,9/17/2018,D,13
RENNL,7855,10/9/2018,10/12/2018,D,15
LFHUX,7856,12/12/2017,12/17/2017,D,14
GSNOT,7857,1/18/2018,1/19/2018,D,18
OHENN,7858,11/27/2018,11/27/2018,B,14
PCOLV,7859,8/23/2018,8/26/2018,A,14
EXIUW,7860,1/16/2018,1/18/2018,C,15
UFGFB,7860,1/19/2018,1/19/2018,B,7
QEGOP,7860,3/31/2018,4/2/2018,A,10
ZCOYK,7860,4/14/2018,4/19/2018,A,13
MOOWD,7860,4/14/2018,4/16/2018,B,14
TJMPV,7860,4/22/2018,4/24/2018,D,10
UAWVX,7860,4/27/2018,4/30/2018,B,18
TUSMN,7860,5/23/2018,5/24/2018,D,19
FKKYO,7860,7/7/2018,7/12/2018,B,10
PWRRI,7860,8/28/2018,8/30/2018,C,14
RRSNE,7860,10/19/2018,10/19/2018,C,11
WSCQV,7860,11/30/2018,12/3/2018,D,11
ZFMDT,7861,12/10/2017,12/12/2017,C,13
TSKQR,7861,12/28/2017,12/28/2017,A,8
ANHSX,7861,1/16/2018,1/16/2018,A,11
XHENQ,7861,3/11/2018,3/13/2018,B,10
MOBCD,7861,3/20/2018,3/23/2018,A,14
DVTYX,7861,4/14/2018,4/14/2018,C,13
IGOBY,7861,6/20/2018,6/23/2018,B,14
ARJNP,7861,6/20/2018,6/24/2018,C,7
ZPIFJ,7861,6/24/2018,6/29/2018,C,13
DDAZY,7861,8/8/2018,8/10/2018,D,7
YDOJM,7861,9/13/2018,9/15/2018,A,13
WSTZY,7861,9/15/2018,9/17/2018,B,15
UBKWE,7861,9/26/2018,9/27/2018,A,14
DXKOW,7861,10/1/2018,10/5/2018,C,19
RCBVP,7861,10/12/2018,10/17/2018,A,19
VWNMP,7861,11/4/2018,11/6/2018,D,16
ZDGXU,7862,7/31/2018,8/1/2018,C,13
WAPMR,7863,4/26/2018,4/27/2018,A,19
LVGAS,7864,12/20/2017,12/21/2017,D,14
XWNMG,7864,7/13/2018,7/17/2018,D,13
UHVZZ,7864,10/9/2018,10/9/2018,D,13
AZHBH,7865,3/2/2018,3/7/2018,C,7
KAODC,7866,3/15/2018,3/19/2018,C,14
UYIMF,7866,6/16/2018,6/21/2018,C,9
ZUPSO,7867,4/1/2018,4/3/2018,B,13
XBJST,7868,1/13/2018,1/17/2018,D,8
VFQYD,7868,8/22/2018,8/25/2018,C,13
HKNCS,7869,6/22/2018,6/26/2018,C,15
YNKXU,7870,5/20/2018,5/23/2018,C,13
IYTUI,7871,3/12/2018,3/14/2018,C,14
JWEHM,7872,1/1/2018,1/2/2018,B,14
